id,owner_org_en,title_en,desc_en,link_en,downloads,visits,openness_rating,dataset_format,user_rating_score,user_rating_count
98f1a129-f628-4ce4-b24d-6f16bf24dd64,Natural Resources Canada,Fuel consumption ratings,"Datasets provide model-specific fuel consumption ratings and estimated carbon dioxide emissions for new light-duty vehicles for retail sale in Canada.

To help you compare vehicles from different model years, the fuel consumption ratings for 1995 to 2014 vehicles have been adjusted to reflect the improved testing that is more representative of everyday driving. Note that these are approximate values that were generated from the original ratings, not from vehicle testing.

For more information on fuel consumption testing, visit: https://www.nrcan.gc.ca/energy/efficiency/energy-efficiency-transportation-and-alternative-fuels/2019-fuel-consumption-guide/understanding-fuel-consumption-ratings/fuel-consumption-testing/21008.

To compare the fuel consumption information of 1995 to 2020 model year vehicles, use the fuel consumption ratings search tool at https://fcr-ccc.nrcan-rncan.gc.ca/en.

(Data update: March 17, 2020)
",https://open.canada.ca/data/en/dataset/98f1a129-f628-4ce4-b24d-6f16bf24dd64,20339,26303,3,CSV,2.91265,312
90fed587-1364-4f33-a9ee-208181dc0b97,Employment and Social Development Canada,Temporary Foreign Worker Program (TFWP): Positive Labour Market Impact Assessment (LMIA) Employers List,"A positive LMIA will be issued by Service Canada if an assessment indicates that hiring a temporary foreign worker (TFW) will have a positive or neutral impact on the Canadian labour market. A positive LMIA must be obtained by an employer before hiring a TFW for a specific occupation.

This list excludes all personal names, such as employers of caregivers or business names that use or include personal names. For this reason, the list is not complete and does not reflect all employers who requested or received an LMIA.

The data provided in this report tracks TFW positions on Labour Market Impact Assessments only, not TFWs that are issued a work permit or who enter Canada. The decision to issue a work permit rests with Immigration, Refugees and Citizenship Canada (IRCC); therefore, not all positions approved result in a work permit or a TFW entering Canada. The data includes all positions on all positive LMIAs as issued, and therefore also includes any position that may have been subsequently cancelled by the employer. For information on the number of work permits issued, please consult Immigration, Refugee and Citizenship Canada (IRCC) Facts and Figures: http://www.cic.gc.ca/english/resources/statistics/menu-fact.asp.

Note:
Effective February 2018, Employment and Social Development Canada's (ESDC) Foreign Worker System changed to the LMIA System.
LMIAs in support of Permanent Residence (PR) are excluded from TFWP statistics reporting, unless reported separately. This may impact statistics reported over time.
Country of citizenship information are replaced with country of residence information, reflecting current data collection policies of the LMIA System.

 Should an employer wish to contact ESDC concerning the accuracy of this information, please contact NA-TFWP-PTET@hrsdc-rhdcc.gc.ca.",https://open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97,16131,27868,3,CSV,4.5669,71
f7e5498e-0ad8-4417-85c9-9b8aff9b9eda,"Immigration, Refugees and Citizenship Canada",Permanent Residents – Monthly IRCC Updates,"People who have been granted permanent resident status in Canada.

Please note that in these datasets, the figures have been suppressed or rounded to prevent the identification of individuals when the datasets are compiled and compared with other publicly available statistics. Values between 0 and 5 are shown as “--“ and all other values are rounded to the nearest multiple of 5. This may result to the sum of the figures not equating to the totals indicated.
",https://open.canada.ca/data/en/dataset/f7e5498e-0ad8-4417-85c9-9b8aff9b9eda,15233,17978,3,CSV,3.81037,58
390ee890-59bb-4f34-a37c-9732781ef8a0,Employment and Social Development Canada,Historical minimum wage rates in Canada,"The minimum wage is a basic labour standard that sets the lowest wage rate that an employer can pay to employees who are covered by the legislation. Today, one of its main purposes is to protect non-unionized workers in unskilled jobs, although it can also influence, directly or indirectly, the level of compensation of other employees as well. 
A minimum wage constitutes a floor above which employees or their unions may negotiate with management for higher remuneration. However, it is rarely static: adjustments are required from time to time to maintain its relevance in changing economic and social conditions.",https://open.canada.ca/data/en/dataset/390ee890-59bb-4f34-a37c-9732781ef8a0,10454,16853,3,CSV,3.06383,47
90115b00-f9b8-49e8-afa3-b4cff8facaee,"Immigration, Refugees and Citizenship Canada",Temporary Residents: Study Permit Holders – Monthly IRCC Updates,"Temporary residents who are in Canada on a study permit in the observed calendar year. Datasets include study permit holders by year in which permit(s) became effective or with a valid permit in a calendar year or on December 31st.

Please note that in these datasets, the figures have been suppressed or rounded to prevent the identification of individuals when the datasets are compiled and compared with other publicly available statistics. Values between 0 and 5 are shown as “--“ and all other values are rounded to the nearest multiple of 5. This may result to the sum of the figures not equating to the totals indicated.",https://open.canada.ca/data/en/dataset/90115b00-f9b8-49e8-afa3-b4cff8facaee,10334,11141,3,CSV,3.8977199999999996,44
dc343c43-a592-4a27-8ee7-c77df56afb34,Canada Energy Regulator,Pipeline Throughput and Capacity Data,"Throughput and capacity data at key points on major oil and natural gas pipelines regulated by the National Energy Board. These data are daily for natural gas pipelines and monthly for oil pipelines and cover 2006 to present, updates every three months.  ",https://open.canada.ca/data/en/dataset/dc343c43-a592-4a27-8ee7-c77df56afb34,9776,5795,3,CSV,3.6184300000000005,19
8ec4a9df-b76b-4a67-8f93-cdbc2e040098,Shared Services Canada,Government of Canada Employee Contact Information,"Government Electronic Directory Services (GEDS) provides public access to Government of Canada employee contact information as provided by participating departments.

Encoded with the Latin Alphabet 1 (ISO 8859-1) character set.


This is the dataset that contains all of the raw data within the Government of Canada Employee Contact Information system, not the searchable lookup. To search for contact information, please go to Government Electronic Directory Services (GEDS). (​​http://geds.gc.ca)",https://open.canada.ca/data/en/dataset/8ec4a9df-b76b-4a67-8f93-cdbc2e040098,9562,39553,3,CSV,2.7185,754
ffd38960-1853-4c19-ba26-e50bea2cb2d5,Public Services and Procurement Canada,Tender Notices,"The dataset contains Government of Canada tender information published in accordance with the Financial Administration Act, all Schedule I, Schedule II and Schedule III of those departments, agencies, Crown corporations, and other entities (unless specifically exempt) who must comply with the Government of Canada trade agreement obligations. The source of this information is Buyandsell.gc.ca, the authoritative source for Government of Canada tenders. Visit the ""About Tenders"" page to learn more: https://buyandsell.gc.ca/procurement-data/tenders/about-tenders.  

 

The table below is organized according to “Quick Searches” on Buyandsell.gc.ca. The resources names are reflective of the information contained in each file.  
 
(1) Procurement Data Dictionary: Offers a description of each data field contained in the Tenders files, as well as other datasets published on Buyandsell.gc.ca. The XML file is meant to be used as a guide for understanding the various data elements. It is updated on an “as needed” frequency to reflect changes to data elements on Buyandsell.gc.ca. 
(2) New Today: Contains up to date information on all new tender notices published to Buyandsell.gc.ca on a specific day. The file is generated after midnight ET and published the next business day and updated in “real time” as new tenders are published.
(3) Active: Contains up to date information on all active tender notices, including any amendments brought to a tender notice during its lifecycle. The file is generated after midnight ET and published the next business day and updated in “real time” as tenders are published or amended.
(4) Expired: Contains up to date information on all expired tender notices, including any amendments brought to a tender notice during its lifecycle. The file is generated after midnight ET and published the next business day and updated in “real time” as tenders expire.
(5) Tender notices filtered by goods and services categories, broken down by:
Construction; Goods; Services; and Services Related to Goods. The files contain up to date information on active, expired, awarded and cancelled tender notices, including any amendments brought to a tender notice during its lifecycle. The files are generated after midnight ET and published the next business day and updated in “real time” as tenders are published, amended, awarded or cancelled.

(6) Awards: Contains up to date information on all award notices published on Buyandsell.gc.ca. Award notices are used to announce a contract awarded to a supplier as the result of a tender notice. The file is generated after midnight ET and published the next business day and updated in “real time” as awards are published or amended.  


",https://open.canada.ca/data/en/dataset/ffd38960-1853-4c19-ba26-e50bea2cb2d5,9226,7881,3,CSV,2.61417,254
ef546c83-43a8-4404-943e-ab324164eeb3,Health Canada,Licensed Natural Health Products,"Unfortunately, the text-based data extract is no longer accessible through the Natural and Non-prescription Health Products (NNHPD) website. We want to underline that the support for the CSV (text) extract formats has been dropped by our program area and the links to CSV files on the page will be deleted soon. However, the alternative formats XML and JSON are both available and are updated daily and will continue to be moving forward. .For the most recent LNHPD extract you can retrieve either XML or JSON extracts from our API.

We apologize for any confusion this may have caused.

The Licensed Natural Health Products Database contains information about natural health products that have been issued a product licence by Health Canada. This data extract contains information on NHP Products.

Products with a licence have been assessed by Health Canada and found to be safe, effective and of high quality under their recommended conditions of use. You can identify licensed natural health products by looking for the eight-digit Natural Product Number (NPN) or Homeopathic Medicine Number (DIN-HM) on the label.

",https://open.canada.ca/data/en/dataset/ef546c83-43a8-4404-943e-ab324164eeb3,7662,10596,3,CSV,2.31251,48
e547539b-7fc6-4879-be54-3d1f80ac9e9e,Employment and Social Development Canada,Canada Pension Plan (CPP) Maximum Monthly Amounts of New Benefits,"Canada Pension Plan (CPP) Maximum Monthly Rates of New Benefits includes maximum monthly rates for new CPP benefits from 1967 to date.

",https://open.canada.ca/data/en/dataset/e547539b-7fc6-4879-be54-3d1f80ac9e9e,7244,16821,3,CSV,2.49819,138
